id,word,rank,stars,part_of_speech,meaning_ja,definition_en,example_1_en,example_1_ja,example_2_en,example_2_ja,example_3_en,example_3_ja
89,should,89,★★★★★,verb,～すべき,used to indicate what is proper or reasonable,You look very tired; you should take a short rest.,すごく疲れて見えるよ、少し休んだ方がいいよ。,We should leave home early to avoid the highway traffic.,高速道路の渋滞を避けるために家を早く出るべきだね。,Should I bring an umbrella just in case it rains today?,今日もし雨が降った時のために念のため傘を持っていくべきかな？
90,need,90,★★★★★,verb,必要とする,require because it is essential or important,I need to buy some fresh vegetables for tonight's curry.,今夜のカレー用に新鮮な野菜を買う必要があるんだ。,Do you need any help carrying that heavy cardboard box?,その重い段ボール箱を運ぶのに何か手伝いが必要？,All you need is a good night's sleep to feel refreshed.,リフレッシュするために必要なのは、ぐっすり眠ることだけだよ。
91,much,91,★★★★★,adverb,たくさん,large in amount or extent,Thank you so much for helping me clean the garage today.,今日は車庫の掃除を手伝ってくれて本当にどうもありがとう。,How much does this handmade ceramic bowl cost?,この手作りの陶器のボウルはいくらですか？,There wasn't much traffic on the highway this afternoon.,今日の午後は高速道路にそれほど交通量がなかったよ。
92,right,92,★★★★★,adjective,正しい,"to be true, correct or acceptable",Turn right at the bakery and the flower shop will be on your left.,パン屋さんを右に曲がると、お花屋さんが左手にあります。,You were completely right about that new movie; it was amazing!,あの新しい映画についての君の言った通りだったよ、最高だった！,I will be right back after I wash my hands.,手を洗ったらすぐに戻ってくるね。
93,how,93,★★★★★,adverb,どのようにして,by what means or manner?,How are you feeling today after getting some rest?,少し休んだ後、今日の体調はどうですか？,Could you show me how to use this new coffee maker?,この新しいコーヒーメーカーの使い方を教えてもらえますか？,How long does it take to walk to the nearest station?,最寄りの駅まで歩いてどれくらいの時間がかかりますか？
94,back,94,★★★★★,noun,背,the rear surface of something,I will come right back after I mail this letter.,この手紙を投函したらすぐに戻ってくるよ。,My lower back feels a bit stiff after sitting at the desk all day.,一日中机に座っていたので腰が少し凝っているよ。,Let's walk back to the hotel before it gets completely dark.,完全に暗くなる前にホテルへ歩いて戻ろう。
95,mean,95,★★★★★,verb,～するつもりだ,to have in mind as your purpose or intention,What does this local slang word mean in Japanese?,この地元の方言の単語は日本語でどういう意味ですか？,I didn't mean to wake you up when I opened the door.,ドアを開けた時、起こすつもりはなかったんだ。,A warm cup of soup means a lot on a freezing winter day.,凍えるような冬の日に温かいスープ一杯は本当にありがたいものだ。
96,even,96,★★★★★,adverb,平らな、等しい,"being flat, equal or smooth","Even on busy days, she always finds time for a morning walk.",忙しい日であっても、彼女はいつも朝の散歩の時間を作っている。,This new smartphone camera takes clear pictures even at night.,この新しいスマホのカメラは夜であっても鮮明な写真が撮れるよ。,He didn't even notice that the wall color had changed.,彼は壁の色が変わったことにすら気づかなかった。
97,may,97,★★★★★,verb,かもしれない,used to express possibility or probability,"It may rain this evening, so take an umbrella just in case.",今晩雨が降るかもしれないから、念のため傘を持っていきなよ。,May I please have a glass of cold tap water?,冷たいお水を一杯いただけますでしょうか？,You may leave early today if you finish all your tasks.,もし全てのタスクが終われば、今日は早く帰っていいですよ。
98,here,98,★★★★★,adverb,ここ,"in this place, at this location or position",Please sit here next to the window where it is sunny.,日当たりの良い窓の隣のここに座ってください。,I have lived here in this peaceful neighborhood for three years.,私はこののどかな近所に住んで3年になります。,"Here is the hot ginger tea you asked for; be careful, it's hot!",頼まれていたホットジンジャーティーだよ、熱いから気をつけてね！
99,many,99,★★★★★,determiner,たくさん,used to refer a large number of things,How many slices of pizza would you like for dinner?,夕飯にピザは何切れ食べたいですか？,There were so many cute dogs playing happily at the park.,公園ではたくさんの可愛い犬たちが楽しそうに遊んでいたよ。,Thank you for your many years of kind friendship and support.,長年にわたる温かい友情とサポートをどうもありがとう。
100,such,100,★★★★★,adjective,そのような,like or similar,We had such a lovely and relaxing picnic this sunny afternoon.,この晴れた午後にとても素敵で心安らぐピクニックができたね。,It was such a surprise to run into our old neighbor at the supermarket.,スーパーで昔の近所の人にばったり会うなんて本当に驚きだったよ。,I have never tasted such delicious homemade strawberry jam.,こんなに美味しい手作りのいちごジャムは食べたことがないよ。
